text,label
"Hey, are we still meeting for basketball on Friday?",ham
Cash prize alert: claim your iPhone before it expires! win-now.co/claim,spam
"Running a bit late for lunch, be there in 10 min",ham
WIN a FREE cash prize now! Click here: bit.ly/xyz123,spam
"Hey, are we still meeting for the study group on the weekend?",ham
You've been selected for a gift card! Reply YES to claim,spam
Can you send me the notes from the project meeting class?,ham
Congratulations! You have WON a gift card. Claim NOW at bit.ly/xyz123,spam
WIN a FREE gift card now! Click here: tinyurl.com/abc,spam
"Hey, are we still meeting for the project meeting on Monday?",ham
Thanks for helping with lunch yesterday,ham
"Running a bit late for basketball, be there in 10 min",ham
"Hey, are we still meeting for the study group on tomorrow?",ham
Can you send me the notes from lunch class?,ham
Cash prize alert: claim your gift card before it expires! bit.ly/xyz123,spam
Can you send me the notes from basketball class?,ham
Can you send me the notes from the study group class?,ham
"Don't forget about the study group this tomorrow, see you there",ham
"Hey, are we still meeting for the study group on Monday?",ham
Thanks for helping with basketball yesterday,ham
You've been selected for a gift card! Reply YES to claim,spam
Thanks for helping with the project meeting yesterday,ham
Congratulations! You have WON a laptop. Claim NOW at win-now.co/claim,spam
You've been selected for a vacation! Reply YES to claim,spam
Can you send me the notes from the study group class?,ham
WIN a FREE iPhone now! Click here: bit.ly/xyz123,spam
What time does the project meeting start on Monday?,ham
"Running a bit late for the project meeting, be there in 10 min",ham
"Hey, are we still meeting for lunch on tomorrow?",ham
"Don't forget about lunch this tomorrow, see you there",ham
Thanks for helping with lunch yesterday,ham
Can you send me the notes from lunch class?,ham
"Running a bit late for the study group, be there in 10 min",ham
Can you send me the notes from lunch class?,ham
"Hey, are we still meeting for basketball on tomorrow?",ham
Congratulations! You have WON a laptop. Claim NOW at bit.ly/xyz123,spam
"Limited time offer! Get iPhone FREE, click win-now.co/claim today",spam
Can you send me the notes from the project meeting class?,ham
You've been selected for a vacation! Reply YES to claim,spam
What time does the study group start on tomorrow?,ham
What time does basketball start on the weekend?,ham
Thanks for helping with lunch yesterday,ham
URGENT: Your account will be suspended. Verify at win-now.co/claim,spam
